Unnamed: 0,exp,job_id,ts,cabinet,node,device,uuid,warmup,kern_min_start,kern_max_start,num_kerns,kern_sum,train_time,mean_iter_dur,perf_s,perf,min_iter_dur,max_iter_dur,mean_freq,freq,min_freq,max_freq,mean_memfreq,memfreq,min_memfreq,max_memfreq,mean_temp,temp,min_temp,max_temp,mean_pwr,pwr,min_pwr,max_pwr
15,bert,82346,1652842656,c004,3,3,c004-3-3,TRUE,33.053448,173.419916,1,8.148419,89.46147782,0.315578487,0.237045478,237.045478,0.231868512,8.415368974,1497.16129,1530,1312,1530,877,877,877,877,46.03694069,47,34,52,150.3387933,172.038,61.649,261.855
14,bert,82344,1652842656,c004,3,1,c004-3-1,TRUE,33.053339,173.419825,1,8.142835,89.46147782,0.315394878,0.236828461,236.828461,0.23147922,8.388468294,1498.163009,1530,1312,1530,877,877,877,877,47.91792995,49,35,54,156.4616336,178.743,63.117,271.054
1,bert,84764,1652843658,c004,3,2,c004-3-2,FALSE,32.663072,166.345323,1,6.593963,95.24374952,0.339786843,0.249813876,249.813876,0.231884141,6.818035438,1499.892822,1530,1312,1530,877,877,877,877,43.56369897,44,31,49,156.5244889,151.28,64.627,278.22
2,bert,84763,1652843658,c004,3,1,c004-3-1,FALSE,32.654288,166.349296,1,6.602694,95.24374952,0.339616899,0.250177368,250.177368,0.237333177,6.819612149,1500.372184,1530,1312,1530,877,877,877,877,47.35721295,48,34,53,152.209103,168.139,61.649,271.897
12,bert,84762,1652843658,c004,3,0,c004-3-0,FALSE,32.670845,166.345174,1,3.74605,95.24374952,0.340094997,0.249837388,249.837388,0.211260199,6.818313351,1516.162214,1530,1312,1530,877,877,877,877,44.45133588,45,33,50,150.2854594,135.708,63.117,265.71
10,bert,84765,1652843658,c004,3,3,c004-3-3,FALSE,32.671161,166.34536,1,6.607629,95.24374952,0.339597114,0.249840492,249.840492,0.235645182,6.82130556,1500.999013,1530,1312,1530,877,877,877,877,45.64560711,46,34,51,147.4829867,167.1395,61.2,258.764
19,bert,86850,1652844656,c004,3,3,c004-3-3,FALSE,32.389804,160.54933,1,7.288673,91.59914846601896Total,0.325551092,0.24371474,243.71474,0.233844594,7.511153151,1498.89939,1530,1312,1530,877,877,877,877,46.19664634,47,34,52,149.0090152,169.4685,61.689,261.511
17,bert,86847,1652844656,c004,3,0,c004-3-0,FALSE,32.397894,160.54547,1,3.313706,91.59914846601896Total,0.325690718,0.242957414,242.957414,0.215149125,7.512392664,1513.42843,1530,1312,1530,877,877,877,877,44.62617284,45,33,50,151.7544415,151.568,63.117,263.315
23,bert,86849,1652844656,c004,3,2,c004-3-2,FALSE,32.379429,160.54508,1,7.272874,91.59914846601896Total,0.325516461,0.242281041,242.281041,0.225766719,7.504231894,1500.238485,1530,1312,1530,877,877,877,877,44.20255754,45,31,50,159.0461924,165.567,64.137,282.97
3,bert,86848,1652844656,c004,3,1,c004-3-1,FALSE,32.387805,160.545668,1,7.294886,91.59914846601896Total,0.325497252,0.241981029,241.981029,0.233584469,7.509228023,1499.89959,1530,1312,1530,877,877,877,877,47.57150179,48,34,54,156.1642348,174.36,61.649,273.663
